Date,Open,High,Low,Close,Adj Close,Volume
2005-05-31,4105.100098,4321.700195,4098.799805,4277.500000,4277.500000,0
2005-06-30,4272.700195,4398.799805,4213.600098,4388.799805,4388.799805,0
2005-07-31,4388.299805,4502.200195,4361.399902,4446.799805,4446.799805,0
2005-08-31,4454.299805,4679.100098,4440.899902,4641.200195,4641.200195,0
2005-09-30,4642.200195,4654.299805,4311.100098,4459.700195,4459.700195,0
2005-10-31,4463.600098,4680.100098,4441.799805,4634.799805,4634.799805,0
2005-11-30,4625.700195,4775.799805,4549.299805,4763.399902,4763.399902,0
2005-12-31,4774.799805,4964.100098,4749.200195,4929.600098,4929.600098,0
2006-01-31,4937.399902,4982.600098,4790.799805,4921.299805,4921.299805,0
2006-02-28,4913.500000,5138.500000,4844.799805,5129.700195,5129.700195,0
2006-03-31,5127.600098,5336.600098,5122.100098,5258.799805,5258.799805,0
2006-04-30,5273.799805,5406.700195,4976.799805,5001.700195,5001.700195,0
2006-05-31,5018.200195,5120.000000,4758.299805,5073.899902,5073.899902,0
2006-06-30,5075.500000,5146.600098,4899.899902,4986.000000,4986.000000,0
2006-07-31,4981.600098,5115.399902,4919.500000,5115.399902,5115.399902,0
2006-08-31,5113.500000,5164.200195,4961.299805,5154.100098,5154.100098,0
2006-09-30,5153.000000,5409.899902,5142.700195,5384.399902,5384.399902,598359000
2006-10-31,5390.700195,5496.299805,5322.399902,5482.100098,5482.100098,1908047000
2006-11-30,5486.000000,5684.399902,5411.000000,5669.899902,5669.899902,0
2006-12-31,5672.700195,5829.299805,5499.000000,5773.399902,5773.399902,0
2007-01-31,5781.299805,6052.100098,5781.299805,5832.500000,5832.500000,0
2007-02-28,5840.600098,5998.899902,5641.100098,5995.000000,5995.000000,0
2007-03-31,5994.000000,6265.200195,5915.799805,6166.000000,6166.000000,0
2007-04-30,6163.200195,6384.100098,6134.200195,6313.500000,6313.500000,0
2007-05-31,6321.000000,6409.200195,6170.200195,6274.899902,6274.899902,0
2007-06-30,6282.000000,6436.700195,6044.299805,6144.200195,6144.200195,0
2007-07-31,6138.600098,6247.200195,5483.299805,6247.200195,6247.200195,0
2007-08-31,6253.700195,6594.399902,6146.500000,6567.799805,6567.799805,0
2007-09-30,6567.600098,6800.200195,6542.899902,6754.100098,6754.100098,0
2007-10-31,6778.399902,6851.500000,6312.600098,6533.100098,6533.100098,0
