Date,Open,High,Low,Close,Adj Close,Volume
24/03/2014,75.381599,75.590401,75.162804,75.481003,55.669342,2475489
25/03/2014,75.650101,76.237,75.401497,75.978302,56.036114,3233578
26/03/2014,75.451202,76.237,75.441299,76.1474,56.16082,2707592
27/03/2014,76.386101,76.734299,76.172302,76.724297,56.586308,8420752
30/03/2014,77.082397,77.341003,76.8536,77.022697,56.806393,2853713
31/03/2014,77.171898,77.231598,76.306602,76.714401,56.57901,2162726
1/04/2014,76.9133,77.082397,76.316498,76.535301,56.446918,2012346
2/04/2014,76.565201,76.704399,76.3265,76.614899,56.505623,1651225
3/04/2014,76.306602,76.674599,76.177299,76.565201,56.468964,1903190
7/04/2014,76.137497,76.545303,76.087799,76.445801,56.380905,1277098
8/04/2014,76.416,76.525398,76.2071,76.346397,56.307594,1483523
9/04/2014,76.604897,77.082397,76.604897,77.072403,56.843044,2552221
10/04/2014,77.241501,77.470299,77.152,77.470299,57.136501,1847162
11/04/2014,76.833702,77.0625,76.704399,76.9431,56.747681,1939908
14/04/2014,76.595001,76.962997,76.097702,76.097702,56.124168,2428410
15/04/2014,76.435898,76.724297,76.187202,76.485603,56.410263,1541305
16/04/2014,76.535301,76.783997,76.3563,76.734299,56.593681,1498974
17/04/2014,77.042603,77.380798,76.684502,77.152,56.901749,1948089
22/04/2014,77.152,77.609497,77.152,77.609497,57.23917,1706442
23/04/2014,78.067001,78.584198,77.977501,78.584198,57.958038,2937014
24/04/2014,78.912498,78.912498,77.897903,78.464897,57.870052,7817236
28/04/2014,78.464897,79.141197,78.464897,79.021896,58.280857,2066271
29/04/2014,79.519203,79.519203,78.116798,78.514603,57.906715,2504661
30/04/2014,78.982101,79.021896,78.236099,78.4748,57.877354,2061487
1/05/2014,78.813004,78.862701,77.972504,78.216202,57.686634,2323173
2/05/2014,78.3256,78.723503,78.037201,78.713501,58.053402,1960783
5/05/2014,79.021896,79.051697,77.8283,78.514603,57.906715,2232564
6/05/2014,78.912498,79.001999,78.434998,78.862701,58.163437,1475048
7/05/2014,78.285896,78.554398,77.907898,78.126701,57.620621,2242848
8/05/2014,78.683701,78.837898,78.365402,78.663803,58.016754,1999913
9/05/2014,78.683701,79.161102,78.027298,79.071602,58.317513,1624120
12/05/2014,78.972099,79.469398,78.653801,78.952202,58.229443,1202865
13/05/2014,79.499298,79.568901,79.111397,79.469398,58.610893,2212276
14/05/2014,79.648499,80.553596,79.1213,80.454102,59.337135,2660799
15/05/2014,80.523697,80.851898,80.0662,80.762398,59.564518,3520611
16/05/2014,80.314796,80.414299,79.757896,79.966698,58.977665,2253981
19/05/2014,79.767799,79.817596,79.021896,79.131302,58.361534,2088205
20/05/2014,79.529099,79.628601,78.753304,79.399803,58.559574,2086968
21/05/2014,78.882599,79.777802,78.773201,79.757896,58.823673,2450437
22/05/2014,79.847397,80.374496,79.817596,80.215401,59.161091,2201779
23/05/2014,80.245201,80.931503,80.215401,80.871803,59.645206,2078568
26/05/2014,81.021004,81.160301,80.822098,81.120499,59.828632,1256744
27/05/2014,81.3592,81.4189,80.991203,81.239799,59.916618,1195990
28/05/2014,81.498398,81.647598,81.269699,81.498398,60.107353,1218273
29/05/2014,81.249802,81.737198,81.209999,81.607803,60.18803,1316918
30/05/2014,81.757004,81.757004,81.150299,81.150299,59.850597,10072190
2/06/2014,81.170197,81.995796,81.170197,81.816704,60.342102,1722324
3/06/2014,81.757004,81.826698,81.259697,81.458702,60.078064,2285468
4/06/2014,81.458702,81.458702,80.663002,80.7127,59.527855,1936892
5/06/2014,80.7127,80.971298,80.096001,80.513802,59.381172,2045426
6/06/2014,80.523697,81.458702,80.523697,81.329399,59.982697,2027781
10/06/2014,81.329399,82.239403,81.329399,81.975899,60.459511,2437753
11/06/2014,81.856499,82.224503,81.587997,81.757004,60.298073,1651018
12/06/2014,81.319397,81.5681,81.100601,81.438797,60.063381,2100549
13/06/2014,81.110497,81.3592,80.692802,81.289597,59.953346,2704084
16/06/2014,81.289597,81.289597,80.812202,81.160301,59.857983,3199426
17/06/2014,81.120499,81.249802,80.593399,80.8022,59.593872,2723665
18/06/2014,80.732597,80.961304,80.563499,80.563499,59.417828,2081635
19/06/2014,81.2995,81.856499,80.752502,81.856499,60.371449,4476097
20/06/2014,81.458702,81.6576,80.971298,80.981201,59.725899,2652515
23/06/2014,81.389,81.617798,81.170197,81.349297,59.997372,1969815
24/06/2014,81.170197,81.279602,80.961304,81.140404,59.843311,1844725
25/06/2014,80.672897,80.891701,80.473999,80.583397,59.432503,2873237
26/06/2014,80.722603,81.617798,80.722603,81.617798,60.1954,2335972
27/06/2014,81.558098,81.846603,80.891701,81.030998,59.762619,8847876
30/06/2014,81.060799,81.080704,80.444199,80.444199,59.329845,2671734
1/07/2014,80.563499,80.762398,79.429604,79.539101,58.662304,3795106
2/07/2014,79.668404,80.503799,79.668404,80.483902,59.359123,2410883
3/07/2014,80.563499,81.200104,80.364601,81.110497,59.821255,1686473
4/07/2014,81.548203,81.587997,81.170197,81.5084,60.114712,1359994
7/07/2014,81.5084,81.558098,80.881798,80.9216,59.681927,1611834
8/07/2014,81.011101,81.200104,80.722603,80.881798,59.652584,1718446
9/07/2014,80.762398,80.792297,80.026398,80.354599,59.26376,2689146
10/07/2014,80.643097,80.7127,79.966698,80.414299,59.307793,1576864
11/07/2014,80.076103,81.011101,79.966698,80.792297,59.586567,2279167
14/07/2014,80.971298,81.379097,80.911598,81.269699,59.938675,1311356
15/07/2014,81.4487,81.458702,80.692802,81.060799,59.784595,1913029
16/07/2014,80.851898,81.060799,80.573402,80.911598,59.674561,1651425
17/07/2014,81.209999,81.249802,80.722603,80.7724,59.571892,2891383
18/07/2014,80.195503,80.832001,80.195503,80.832001,59.615856,2015591
21/07/2014,80.961304,81.120499,80.842003,80.9216,59.681927,1539735
22/07/2014,81.040901,81.040901,80.663002,80.822098,59.608547,1866055
23/07/2014,81.050903,81.548203,80.881798,81.120499,59.828632,2549932
24/07/2014,81.190102,81.607803,81.130402,81.5681,60.158737,2209380
25/07/2014,81.816704,81.836601,81.5681,81.836601,60.356777,6518147
28/07/2014,81.468597,81.796799,81.369102,81.558098,60.151375,1435139
29/07/2014,81.558098,82.164803,81.4786,81.906197,60.408104,1891819
30/07/2014,81.965897,82.841202,81.896301,82.681999,60.980286,2164885
31/07/2014,82.880997,83.467796,82.851097,83.298698,61.43512,2871923
