Date,MSFT,KO,XOM,IBM,CVX,AAPL,UTX,PG,CAT,WBA,BA,PFE,JNJ,MMM,MRK,DIS,MCD,JPM,WMT,NKE,AXP,INTC,TRV,VZ,HD,C,CSCO,GS,V,UNH
20150209,347512332.6,180592058.99,387713475.24,154348250,208759522.32,697338830.56,108779032.56,229678375.5,51259133.33,83274166.4,105214209.4,208362726.99,279295195.8,104844833.6,166291422.09,172429806.75,90235474.88,216142087.98,276904252.9,62577355.77,86934540,155956480,35052178,203709951.16,142773377.18,149081104.48,138501840,79365192.12,130330767.61038,102208143.59
20150210,349481241,185716791.2,385384484.29,157132960,208286916.32,710735750.96,108851965.2,230596548.9,50792976.1,83590259.44,105542150.0707,215167436.55,280890688.5,105468159.1604,167773876.05,172751852,91500640.08,218534528.94,281352255.1,63661837.75,87814320,159603200,35300728,205452835.24,145843914.09,149626412.32,140391430,80384369.76,129883992.19038,104588425.27
20150211,347676408.3,185585387.81,383648327.4,156776200,207908831.52,727394530.24,108204688.02,231271676.4,50496330.59,86685791.28,105456605.6,215797502.25,280974661.8,104615859.2,167460280.02,172667103.25,91685548.84,218198091.93,278290224.6,62673449.11,87988230,158892800,35714978,206697752.44,145369496.37,150504963.84,137531510,81730202.54454,130590977.47038,105433041.35
20150212,353501095.65,184709365.21,391143443.73,157093320,209572404.64,736597632.08,109025180.22,232324875.3,50568978.47,87154480.96,105577803.7,219703909.59,275544388.4,105525396.4,167859402.24,175565510.5,92541968.36,222683918.73,276839789.1,63147052,82331040,161616000,35804456,205494332.48,147807476.32,154170644.32,150452220,82657919.88,133006515.42,105423443.44
20150213,359900047.95,183920944.87,395377972.73,158956390.09,213202018.72,740208975.84,110538532.5,231973809,51537616.87,85813810.48,106747008.9,218254758.48,278847338.2,105544477.6,167659841.13,176565545.75,93086962.6,223057737.63,276581933.9,63174507.24,79875840,162728960,35791200,204622890.44,147451663.03,155109785.6,150232468.77,82318194,132378084.06,105039527.04
20150217,357520950.3,183132524.53,394022923.45,159511369.91,212483657.6,744577536.84,110602348.56,230866599.9,51688966.62,85018128,106882465.6,217876719.06,281142608.4,106167796.8,167602823.67,176480797,91821797.4,224665158.9,277065412.4,63050958.66,80898840,164504960,35791200,204083426.32,147596624,156594234.72,149619900.09,82762450.92,132986876.94,105346660.16
20150218,357110761.05,182782115.49,385384484.29,160730290,208778426.56,749732438.82,111213159.42,232945992.6,51337835.2,84789233.04,107773628.1,217246653.36,279799035.6,106473089.6396,167631332.4,176040103.5,92045634.32,221936280.93,278129065.1,64258989.22,81614940,162279040,35784572,203087492.56,147583445.73,155776272.96,150538753.11,82174463.82,132127693.44,105356258.07
20150219,356864647.5,184446558.43,378736273.76,162414990,204827440.4,748188880.6,112051884.78,230110457.1,50429736.7,84037149.6,109612987.5,216805607.37,281870377,106275923.6,166205895.9,176090952.75,91666084.76,221412934.47,269200828.8,64313899.7,80203200,162018560,35787886,202963000.84,146199727.38,154867426.56,149619900.09,82366104.06,132117879.10962,105605803.73
20150220,359776991.175,183833342.61,380768847.68,162177140.09,205300046.4,754275742.26,113145874.38,229192283.7,51119891.56,84069848.88,112863948.3,217750705.92,280638768.6,106931044.8,166348439.55,177209636.25,91666084.76,223543702.2,271714917,65158148.33,81666090,162965760,35731548,203211984.28,147912902.48,156866888.64,151151321.79,83411410.10454,134032626,108091662.42
20150223,362197107.75,183307729.05,376915426.29,161443810,203901132.64,774691484,112790327.76,230596548.9,50544762.51,85661213.84,110318795.3293,216679594.23,280414839.8,107369912.4,166205895.9,177955425.25,91782869.24,221861517.15,272681874,65213058.81,82146900,159887360,35486312,202382039.48,147965615.56,155473324.16,151253416.57,82888759.26,134037540.52962,111719672.4
